InputCommand,CommandIndex
delete registers,10
open video cameras,12
display task,6
end application,5
begin webcams,12
invalid command,0
shutdown,1
cease keyloggers,15
invalid command,0
activate software,4
enumerate tools,3
recharge,2
wipe files,10
cripple,1
screenshot,11
screen capture,11
kill utility,5
kill keyloggers,15
invalid command,0
invalid command,0
uninstall file,10
invalid command,0
screen capture,11
open camcorders,12
clear document,10
conclude video camera,13
discard logs,10
power off operations,8
invalid command,0
detail programs,3
log tasks,6
detail tasks,6
conclude cameras,13
close down software,5
show tools,3
close down software,5
screenshot,11
purge files,10
exit digital cameras,13
run job,7
discard register,10
screenshot,11
snapshot,11
refresh,2
trigger keyloggers,14
detail task,6
trash record,10
wipe log,10
close services,8
cripple tool,5
register process,6
copy files,9
restart,2
run services,7
launch cameras,12
list jobs,6
invalid command,0
register operations,6
commence keylogger,14
remove documents,10
shutdown,1
trash records,10
record programs,3
index processes,6
run app,4
commence video cameras,12
begin programs,4
finish programs,5
kill process,8
run keyloggers,14
execute programs,4
cease keyloggers,15
trigger keylogger,14
remove log,10
cease camcorders,13
end operation,8
initiate apps,4
close app,5
record tools,3
reclaim,2
index tools,3
eliminate registers,10
screen grab,11
power off,1
register tools,3
screenshot,11
resurrect,2
screen grab,11
launch tool,4
list task,6
finish keylogger,15
access log,9
specify services,6
close down process,8
cease webcams,13
cripple,1
shut tool,5
trash record,10
begin apps,4
reinstate,2
begin tasks,7
store information,9
initiate keyloggers,14
screenshot,11
initiate webcams,12
screen capture,11
open cameras,12
screen shot,11
invalid command,0
initiate tool,4
reclaim,2
copy record,9
shut keylogger,15
cripple,1
open webcams,12
log utilities,3
commence job,7
cease keylogger,15
launch apps,4
access information,9
commence tool,4
start cameras,12
disable software,5
halt,1
begin tools,4
screen capture,11
cease keyloggers,15
invalid command,0
invalid command,0
run operation,7
finish jobs,8
finish camera,13
get documents,9
retrieve register,9
stop apps,5
catalog task,6
cease camcorder,13
enumerate jobs,6
eliminate documents,10
record tasks,6
shut keylogger,15
record utilities,3
initiate tool,4
commence software,4
remove records,10
complete operations,8
disable,1
uninstalling records,10
shut jobs,8
log service,6
complete process,8
cease tasks,8
commence keylogger,14
initiate video camera,12
break,1
index service,6
activate app,4
detail apps,3
reestablish,2
retrieve logs,9
stop task,8
open digital cameras,12
invalid command,0
close task,8
initiate keylogger,14
shut down operations,8
initiate video cameras,12
invalid command,0
complete job,8
execute keylogger,14
invalid command,0
invalid command,0
shutdown,1
initiate video camera,12
show apps,3
reinitialize,2
close keyloggers,15
cripple,1
wipe register,10
recharge,2
discard file,10
terminate apps,5
invalid command,0
begin webcam,12
open keyloggers,14
uninstall records,10
close down program,5
register operations,6
delete data,10
discard documents,10
wipe logs,10
invalid command,0
start over,2
snapshot,11
stop utility,5
obtain record,9
launch application,4
recharge,2
rekindle,2
execute tools,4
stop keylogger,15
delete log,10
repossess,2
conclude camcorders,13
fetch documents,9
kill off utilities,5
exit keyloggers,15
obtain logs,9
turn off apps,5
power off job,8
kill jobs,8
open video cameras,12
close cameras,13
close camera,13
show utilities,3
register utilities,3
begin keylogger,14
complete operations,8
kill off operations,8
shutdown,1
shut down operation,8
invalid command,0
stop tasks,8
shut job,8
delete document,10
detail processes,6
invalid command,0
start over,2
terminate keylogger,15
commence task,7
commence web camera,12
initiate tasks,7
specify software,3
launch video camera,12
close digital cameras,13
fetch file,9
execute digital camera,12
stop programs,5
invalid command,0
snapshot,11
terminate tool,5
execute operations,7
open tasks,7
invalid command,0
terminate keyloggers,15
execute keylogger,14
end service,8
cripple,1
recover,2
begin application,4
execute processes,7
commence keyloggers,14
uninstalling file,10
snapshot,11
trigger software,4
catalog service,6
execute apps,4
commence software,4
screenshot,11
reinvigorate,2
remove files,10
run job,7
complete camcorder,13
register jobs,6
copy register,9
stop keylogger,15
record applications,3
screen capture,11
shut down process,8
kill digital cameras,13
cease camcorder,13
trigger tool,4
commence camera,12
exit job,8
terminate keyloggers,15
catalog apps,3
open web camera,12
refresh,2
catalog apps,3
break,1
specify programs,3
start operations,7
commence job,7
turn off,1
cease services,8
shut camera,13
shutdown,1
invalid command,0
power off,1
reboot,2
get records,9
halt apps,5
start tasks,7
screen capture,11
cease keyloggers,15
close camera,13
trigger digital camera,12
index tools,3
stop keylogger,15
invalid command,0
shutdown,1
initiate keyloggers,14
commence utility,4
specify software,3
activate app,4
launch keyloggers,14
commence tool,4
initiate keylogger,14
list job,6
run keylogger,14
commence processes,7
recoup,2
invalid command,0
execute keyloggers,14
initiate camera,12
commence cameras,12
display apps,3
trigger apps,4
shut software,5
turn off tools,5
start service,7
invalid command,0
restore,2
erase files,10
kill webcams,13
conclude jobs,8
register operation,6
invalid command,0
initiate cameras,12
trigger job,7
show applications,3
obtain log,9
shutdown,1
terminate process,8
repossess,2
initiate keylogger,14
obtain document,9
access document,9
log process,6
complete application,5
power off jobs,8
screen shot,11
delete documents,10
commence keylogger,14
invalid command,0
disable,1
shut keyloggers,15
capture,11
kill off camera,13
regain,2
purge logs,10
record jobs,6
execute video cameras,12
recover,2
snapshot,11
end operation,8
terminate web camera,13
stop apps,5
commence digital cameras,12
execute keyloggers,14
shut down,1
close video camera,13
screen grab,11
cease keyloggers,15
activate keylogger,14
cease cameras,13
retrieve,2
activate video camera,12
start task,7
halt,1
catalog services,6
shut down,1
halt,1
snapshot,11
execute keyloggers,14
close keyloggers,15
store record,9
invalid command,0
invalid command,0
start digital camera,12
conclude programs,5
show apps,3
capture,11
complete cameras,13
access registers,9
uninstalling records,10
save record,9
kill off keylogger,15
complete webcam,13
terminate services,8
initiate services,7
show services,6
execute keyloggers,14
shut down,1
shut down,1
snapshot,11
specify jobs,6
terminate keylogger,15
enumerate software,3
cease processes,8
finish digital camera,13
screen capture,11
index job,6
uninstall register,10
open digital camera,12
invalid command,0
trigger keylogger,14
stop operations,8
trigger keyloggers,14
snapshot,11
run job,7
capture,11
register programs,3
begin apps,4
trigger process,7
download file,9
power off operation,8
trigger app,4
halt,1
open keyloggers,14
screen capture,11
recover,2
run services,7
catalog operations,6
clear registers,10
show tasks,6
disable program,5
execute utility,4
capture,11
cease apps,5
show operation,6
initiate webcam,12
obtain records,9
break,1
catalog tools,3
run web camera,12
conclude tasks,8
purge registers,10
conclude job,8
catalog operation,6
record operation,6
complete tools,5
trash register,10
conclude service,8
initiate process,7
finish programs,5
disable,1
eliminate files,10
catalog programs,3
log job,6
eliminate document,10
invalid command,0
complete task,8
trigger tasks,7
execute operations,7
trigger video cameras,12
launch digital cameras,12
start web cameras,12
delete file,10
open webcams,12
initiate tasks,7
obtain file,9
trigger camera,12
close down process,8
commence operation,7
log utilities,3
register operation,6
trigger cameras,12
catalog applications,3
activate software,4
display task,6
specify service,6
shutdown,1
trigger camcorders,12
terminate operation,8
terminate cameras,13
end web cameras,13
initiate digital cameras,12
run video cameras,12
execute program,4
stop apps,5
commence cameras,12
finish keyloggers,15
complete processes,8
power off operations,8
eliminate register,10
open apps,4
snapshot,11
list applications,3
log processes,6
shut task,8
register processes,6
retrieve register,9
trigger program,4
shut down,1
kill off jobs,8
log applications,3
detail apps,3
open programs,4
detail utilities,3
trigger web camera,12
screen capture,11
begin utilities,4
conclude keylogger,15
begin tool,4
catalog jobs,6
remove information,10
begin keylogger,14
start keyloggers,14
register tools,3
screenshot,11
terminate digital camera,13
specify software,3
start application,4
begin keyloggers,14
kill off digital camera,13
power off software,5
download log,9
execute keyloggers,14
start keylogger,14
screenshot,11
open keyloggers,14
begin camera,12
screen grab,11
launch keyloggers,14
list programs,3
register utilities,3
catalog processes,6
run tools,4
invalid command,0
index tasks,6
invalid command,0
reestablish,2
launch video cameras,12
trash file,10
uninstall log,10
conclude process,8
execute tasks,7
invalid command,0
cease keyloggers,15
delete log,10
record job,6
close program,5
invalid command,0
snapshot,11
index software,3
screen grab,11
display tasks,6
execute job,7
specify processes,6
enumerate applications,3
terminate software,5
close down tool,5
break apps,5
cease job,8
enumerate process,6
show tools,3
exit webcams,13
power off operations,8
terminate keylogger,15
delete document,10
commence digital camera,12
catalog applications,3
execute camcorders,12
conclude camcorders,13
screen grab,11
stop jobs,8
start keyloggers,14
execute operations,7
launch keylogger,14
log jobs,6
screen shot,11
copy document,9
cripple,1
log task,6
start keylogger,14
start keylogger,14
initiate software,4
index programs,3
break,1
finish keylogger,15
exit keyloggers,15
fetch log,9
shut webcams,13
launch operation,7
begin operation,7
finish operation,8
close digital camera,13
download record,9
copy data,9
invalid command,0
commence tasks,7
reboot,2
start keyloggers,14
power off tasks,8
end cameras,13
index service,6
kill service,8
close down processes,8
end application,5
show service,6
complete keyloggers,15
display utilities,3
commence keyloggers,14
commence keylogger,14
finish web cameras,13
screenshot,11
complete video camera,13
store records,9
get log,9
initiate keyloggers,14
kill off camcorders,13
execute video camera,12
shut camcorders,13
power off,1
invalid command,0
invalid command,0
uninstall registers,10
shut down program,5
complete keyloggers,15
execute service,7
close jobs,8
disable,1
exit process,8
rebooting,2
index apps,3
kill digital camera,13
screen shot,11
index tasks,6
stop process,8
wipe registers,10
stop keyloggers,15
shut video cameras,13
conclude programs,5
launch keylogger,14
cease tool,5
cease camcorder,13
begin jobs,7
conclude digital cameras,13
invalid command,0
enumerate tools,3
initiate program,4
detail apps,3
open camcorders,12
start service,7
finish process,8
activate program,4
cease processes,8
shut software,5
invalid command,0
log job,6
screen shot,11
show applications,3
screenshot,11
wipe document,10
end tasks,8
shut down job,8
start web cameras,12
run web camera,12
index job,6
initiate keylogger,14
snapshot,11
invalid command,0
download files,9
close down software,5
invalid command,0
kill off services,8
shut camera,13
trigger video cameras,12
execute video cameras,12
screen capture,11
kill off digital camera,13
power off app,5
execute keyloggers,14
discard registers,10
uninstall register,10
execute digital cameras,12
commence tasks,7
restarting,2
open camcorder,12
commence process,7
begin job,7
record apps,3
run processes,7
activate keylogger,14
power off,1
begin keyloggers,14
run software,4
finish jobs,8
run digital cameras,12
start web camera,12
purge file,10
initiate software,4
retrieve logs,9
invalid command,0
invalid command,0
launch job,7
finish app,5
break,1
register processes,6
shut keyloggers,15
end keylogger,15
exit video camera,13
power off task,8
cease digital camera,13
transfer register,9
trigger webcams,12
invalid command,0
resurrect,2
cease app,5
record programs,3
power off apps,5
reinitialize,2
register jobs,6
run keylogger,14
erase documents,10
cease keylogger,15
conclude keylogger,15
retrieve record,9
reboot,2
finish keyloggers,15
start keyloggers,14
commence operation,7
finish webcams,13
delete documents,10
record services,6
shut down,1
launch web camera,12
exit operation,8
show apps,3
detail jobs,6
shut down utility,5
display applications,3
obtain data,9
kill off digital cameras,13
open apps,4
cease job,8
close down job,8
clear record,10
record software,3
catalog services,6
restart,2
invalid command,0
register utilities,3
screen shot,11
refresh,2
exit task,8
display programs,3
screenshot,11
activate software,4
index tools,3
recoup,2
terminate keyloggers,15
execute camera,12
cripple,1
show utilities,3
open apps,4
kill off keylogger,15
kill off programs,5
acquire information,9
begin cameras,12
snapshot,11
screenshot,11
screen grab,11
repossess,2
purge log,10
conclude keyloggers,15
trigger software,4
catalog apps,3
kill utilities,5
close cameras,13
stop keyloggers,15
commence programs,4
copy records,9
screen grab,11
index processes,6
power off job,8
kill off camera,13
commence camcorders,12
activate keylogger,14
specify operation,6
capture,11
kill off camcorder,13
start program,4
discard data,10
execute video camera,12
terminate keyloggers,15
begin video camera,12
commence utility,4
launch cameras,12
close cameras,13
cease job,8
shut down,1
shutdown,1
screen capture,11
run task,7
kill off keyloggers,15
open camcorders,12
index tasks,6
initiate operation,7
run camera,12
cease service,8
display tasks,6
open video camera,12
terminate keylogger,15
initiate keylogger,14
snapshot,11
power off tasks,8
trigger web camera,12
finish keyloggers,15
remove information,10
screen capture,11
capture,11
end digital camera,13
access logs,9
trigger keylogger,14
shut down,1
enumerate service,6
cripple,1
halt,1
repossess,2
commence camcorder,12
turn off,1
turn off,1
snapshot,11
invalid command,0
download log,9
screen capture,11
finish services,8
launch keyloggers,14
kill camera,13
run tasks,7
uninstalling records,10
shut camcorders,13
regain,2
turn off,1
trigger tools,4
activate tool,4
begin service,7
specify tools,3
shut down,1
erase file,10
catalog tasks,6
obtain file,9
log processes,6
commence tools,4
run keylogger,14
execute video cameras,12
execute keyloggers,14
access file,9
record tasks,6
reestablish,2
screenshot,11
reinstate,2
purge logs,10
screenshot,11
recoup,2
execute task,7
start camera,12
execute tools,4
stop web camera,13
terminate camcorder,13
complete keyloggers,15
open webcam,12
stop keyloggers,15
snapshot,11
copy data,9
initiate camcorder,12
launch tool,4
execute operation,7
invalid command,0
clear registers,10
execute software,4
run keylogger,14
run job,7
log operations,6
download record,9
commence tool,4
eliminate records,10
begin camera,12
record utilities,3
kill off process,8
kill app,5
index tools,3
invalid command,0
delete record,10
activate task,7
purge logs,10
resurrect,2
begin operation,7
stop webcams,13
cease web cameras,13
shut down operation,8
invalid command,0
shut video camera,13
clear document,10
disable,1
shutdown,1
reboot,2
invalid command,0
close keylogger,15
retrieve,2
kill camera,13
activate tools,4
screen shot,11
obtain record,9
register apps,3
screenshot,11
kill task,8
run keyloggers,14
shut programs,5
cripple,1
invalid command,0
shut app,5
trigger processes,7
break utilities,5
transfer record,9
screen grab,11
complete tasks,8
start keyloggers,14
end tools,5
power off operation,8
begin utility,4
halt,1
specify programs,3
power off,1
conclude operation,8
complete webcams,13
execute services,7
close tasks,8
trigger utility,4
shut down processes,8
list applications,3
shutdown,1
run camera,12
display programs,3
disable software,5
detail task,6
wipe logs,10
discard logs,10
complete camera,13
open keylogger,14
disable,1
invalid command,0
activate software,4
save registers,9
disable,1
catalog jobs,6
run services,7
initiate keyloggers,14
invalid command,0
halt,1
screen capture,11
terminate keylogger,15
close app,5
purge documents,10
screen capture,11
launch tool,4
copy information,9
open apps,4
execute operation,7
record applications,3
store register,9
shut down processes,8
launch keyloggers,14
shut down software,5
disable,1
turn off utility,5
terminate software,5
purge log,10
reinstate,2
execute software,4
cripple,1
kill off keyloggers,15
end tasks,8
begin webcams,12
turn off,1
repossess,2
invalid command,0
detail tools,3
cripple,1
complete keyloggers,15
trigger keyloggers,14
open digital camera,12
reinstate,2
invalid command,0
uninstalling records,10
trigger job,7
snapshot,11
commence camcorders,12
launch app,4
invalid command,0
screenshot,11
open web cameras,12
discard logs,10
stop camera,13
recoup,2
commence video camera,12
save records,9
commence tools,4
finish service,8
commence job,7
cripple apps,5
start task,7
invalid command,0
trigger keyloggers,14
wipe data,10
begin keylogger,14
execute camcorders,12
cease keyloggers,15
kill off keyloggers,15
stop web camera,13
enumerate applications,3
commence programs,4
end video cameras,13
break software,5
halt,1
invalid command,0
close down jobs,8
reinitialize,2
get document,9
launch utilities,4
kill keyloggers,15
trigger apps,4
invalid command,0
kill services,8
close job,8
kill keylogger,15
finish keyloggers,15
kill off operations,8
commence process,7
recoup,2
start keylogger,14
uninstall record,10
detail operation,6
end keylogger,15
invalid command,0
kill digital camera,13
acquire data,9
complete digital camera,13
invalid command,0
start task,7
trash documents,10
register utilities,3
open webcams,12
activate tool,4
reboot,2
shut down,1
conclude keyloggers,15
recover,2
shut tool,5
launch camcorders,12
close job,8
restore,2
retrieve files,9
invalid command,0
retrieve record,9
get logs,9
capture,11
activate camcorder,12
catalog software,3
commence service,7
close down operations,8
trash files,10
wipe log,10
invalid command,0
end services,8
execute camera,12
commence task,7
reawaken,2
start camcorder,12
commence digital cameras,12
execute keylogger,14
capture,11
remove records,10
activate app,4
save documents,9
shut down,1
trigger keyloggers,14
activate app,4
finish tools,5
stop keyloggers,15
launch tools,4
disable software,5
detail tools,3
uninstall record,10
invalid command,0
turn off,1
launch application,4
complete camcorder,13
invalid command,0
terminate video camera,13
commence process,7
commence digital cameras,12
open operations,7
run tasks,7
execute service,7
open operation,7
power off service,8
conclude digital cameras,13
begin jobs,7
log software,3
start keylogger,14
show tasks,6
resurrect,2
run tools,4
recoup,2
screenshot,11
activate software,4
screen capture,11
invalid command,0
invalid command,0
kill off programs,5
restart,2
stop utilities,5
execute keylogger,14
initiate app,4
screen shot,11
cripple,1
restore,2
close down services,8
screenshot,11
open application,4
invalid command,0
complete process,8
recoup,2
kill off camera,13
execute process,7
launch keyloggers,14
snapshot,11
close keylogger,15
kill off service,8
power off tool,5
activate software,4
invalid command,0
invalid command,0
cripple,1
begin web camera,12
kill off web camera,13
invalid command,0
invalid command,0
break,1
stop video cameras,13
reclaim,2
delete register,10
invalid command,0
begin software,4
launch operation,7
shut keylogger,15
close keyloggers,15
record software,3
cease task,8
launch operations,7
launch video camera,12
trigger tools,4
renew,2
erase log,10
break,1
cripple,1
log processes,6
purge log,10
kill off keylogger,15
trigger job,7
begin keylogger,14
execute software,4
open digital cameras,12
power off tasks,8
shut down,1
complete video cameras,13
restarting,2
complete keyloggers,15
halt,1
activate keylogger,14
start processes,7
show services,6
stop keylogger,15
cease keylogger,15
screen shot,11
close software,5
begin utilities,4
open keyloggers,14
trash files,10
list jobs,6
record operation,6
catalog jobs,6
refresh,2
uninstall file,10
finish keylogger,15
halt,1
discard records,10
fetch record,9
access log,9
finish keyloggers,15
show programs,3
launch keyloggers,14
shut apps,5
finish cameras,13
begin cameras,12
open utilities,4
capture,11
catalog software,3
end service,8
repossess,2
reinitialize,2
log programs,3
kill off services,8
start task,7
exit processes,8
clear file,10
power off,1
register jobs,6
kill off application,5
cease utility,5
screen shot,11
initiate service,7
shutdown,1
shut app,5
shutdown,1
end services,8
cease digital cameras,13
store document,9
shut down operations,8
invalid command,0
catalog apps,3
specify software,3
index programs,3
invalid command,0
exit digital cameras,13
store files,9
activate utilities,4
commence keyloggers,14
invalid command,0
start jobs,7
run apps,4
screenshot,11
invalid command,0
trigger digital camera,12
conclude utility,5
open keyloggers,14
discard records,10
complete keylogger,15
open keylogger,14
begin webcam,12
reinstate,2
complete keyloggers,15
conclude keyloggers,15
kill keylogger,15
trigger keyloggers,14
conclude keyloggers,15
detail apps,3
cripple,1
launch program,4
terminate digital cameras,13
start camera,12
terminate webcams,13
invalid command,0
finish keyloggers,15
begin service,7
conclude processes,8
obtain logs,9
begin digital cameras,12
initiate keylogger,14
log programs,3
screen grab,11
terminate cameras,13
finish program,5
launch services,7
execute job,7
fetch log,9
screen shot,11
invalid command,0
rebooting,2
renew,2
reestablish,2
conclude digital cameras,13
complete application,5
cease keylogger,15
cripple,1
screen grab,11
screen capture,11
execute processes,7
start keyloggers,14
halt software,5
start utilities,4
initiate software,4
end program,5
display software,3
shut down,1
transfer data,9
close camera,13
execute camcorder,12
list applications,3
store log,9
begin keyloggers,14
begin keyloggers,14
save data,9
invalid command,0
launch task,7
kill app,5
invalid command,0
transfer registers,9
launch process,7
register utilities,3
kill application,5
invalid command,0
break,1
screen capture,11
store information,9
conclude process,8
complete services,8
run keylogger,14
snapshot,11
invalid command,0
recover,2
disable,1
disable,1
trigger process,7
rebooting,2
terminate web camera,13
cease camcorder,13
run services,7
invalid command,0
power off,1
end software,5
finish keylogger,15
commence utility,4
show jobs,6
cripple utility,5
invalid command,0
initiate keyloggers,14
terminate keylogger,15
detail services,6
cease process,8
commence keyloggers,14
specify apps,3
start over,2
screenshot,11
initiate operations,7
exit digital camera,13
activate utilities,4
end services,8
conclude task,8
trigger web camera,12
initiate process,7
turn off application,5
store logs,9
invalid command,0
execute app,4
turn off,1
activate software,4
close keylogger,15
conclude software,5
conclude keylogger,15
power off job,8
end webcam,13
invalid command,0
kill off keyloggers,15
trigger keyloggers,14
screen grab,11
open keylogger,14
screenshot,11
close down tasks,8
kill jobs,8
execute tool,4
register process,6
execute service,7
begin webcam,12
eliminate records,10
restore,2
close down app,5
commence operations,7
begin apps,4
exit video camera,13
run tasks,7
shutdown,1
terminate operation,8
register operations,6
invalid command,0
commence programs,4
terminate tools,5
show job,6
get data,9
close down software,5
begin camera,12
copy information,9
screen grab,11
begin software,4
start keylogger,14
invalid command,0
open camcorder,12
trash data,10
turn off,1
refresh,2
invalid command,0
terminate jobs,8
initiate digital camera,12
open webcam,12
execute keylogger,14
download register,9
show tools,3
open utilities,4
complete operation,8
kill task,8
discard file,10
list software,3
start camcorder,12
display operation,6
conclude camera,13
erase record,10
turn off,1
power off task,8
reanimate,2
break tool,5
launch keyloggers,14
retrieve data,9
invalid command,0
store documents,9
capture,11
commence keyloggers,14
discard document,10
begin apps,4
turn off,1
invalid command,0
exit jobs,8
terminate digital camera,13
commence keylogger,14
break program,5
initiate job,7
show applications,3
complete keylogger,15
kill off services,8
reawaken,2
complete task,8
clear logs,10
complete video cameras,13
clear registers,10
kill utilities,5
launch keyloggers,14
invalid command,0
begin operation,7
download records,9
shut keyloggers,15
kill digital camera,13
list utilities,3
execute digital camera,12
screen capture,11
list utilities,3
stop keylogger,15
launch programs,4
activate webcams,12
invalid command,0
complete keyloggers,15
clear record,10
execute cameras,12
close down application,5
copy registers,9
terminate keylogger,15
start over,2
stop digital camera,13
end tool,5
run camcorder,12
launch tasks,7
open operations,7
specify processes,6
start keyloggers,14
record job,6
list services,6
save file,9
store registers,9
launch webcam,12
commence keylogger,14
activate keylogger,14
stop video camera,13
shut down software,5
activate video camera,12
capture,11
conclude tool,5
trigger app,4
invalid command,0
begin keylogger,14
acquire information,9
get file,9
shut job,8
cease cameras,13
catalog operations,6
disable,1
kill off keyloggers,15
close web cameras,13
run service,7
specify apps,3
execute operations,7
kill off digital cameras,13
conclude camcorders,13
trash log,10
open keylogger,14
screen shot,11
register process,6
catalog tools,3
obtain registers,9
stop camcorders,13
trigger process,7
detail job,6
trigger keylogger,14
open programs,4
detail utilities,3
copy registers,9
finish service,8
delete registers,10
stop task,8
snapshot,11
display process,6
uninstall data,10
stop services,8
index operation,6
invalid command,0
detail applications,3
activate digital camera,12
complete processes,8
conclude tool,5
invalid command,0
launch app,4
initiate keylogger,14
invalid command,0
exit services,8
turn off,1
show service,6
launch webcam,12
display tools,3
show service,6
power off,1
open tool,4
list process,6
revive,2
record apps,3
stop camcorder,13
reboot,2
show tasks,6
finish processes,8
initiate cameras,12
trigger keylogger,14
open tool,4
finish keylogger,15
power off operation,8
initiate utility,4
stop video cameras,13
close video cameras,13
trigger keylogger,14
complete operation,8
commence service,7
capture,11
kill program,5
log utilities,3
invalid command,0
restore,2
cripple,1
discard registers,10
fetch document,9
exit keylogger,15
specify applications,3
begin digital cameras,12
begin programs,4
close down processes,8
commence keylogger,14
shutdown,1
uninstall register,10
shut service,8
invalid command,0
log programs,3
trigger keylogger,14
capture,11
cease services,8
halt,1
catalog service,6
turn off software,5
run keylogger,14
disable,1
shutdown,1
invalid command,0
start apps,4
break,1
begin camera,12
restart,2
screen shot,11
reinstate,2
kill off processes,8
begin apps,4
recover,2
open programs,4
display utilities,3
execute web camera,12
activate programs,4
break,1
start webcam,12
invalid command,0
begin processes,7
cripple,1
run tasks,7
conclude processes,8
kill off web cameras,13
stop video camera,13
shut video cameras,13
kill keylogger,15
finish webcams,13
open web cameras,12
recoup,2
open task,7
list tools,3
catalog utilities,3
launch keyloggers,14
specify operation,6
detail programs,3
conclude process,8
break,1
delete log,10
close video cameras,13
register processes,6
complete webcam,13
show utilities,3
run digital cameras,12
get document,9
halt application,5
index software,3
start keylogger,14
remove documents,10
record applications,3
kill webcams,13
snapshot,11
execute keyloggers,14
power off,1
register processes,6
renew,2
kill off keyloggers,15
detail software,3
fetch document,9
close keylogger,15
end camera,13
register tools,3
refresh,2
trigger tool,4
activate program,4
shutdown,1
kill off camcorders,13
terminate apps,5
end services,8
shut camcorders,13
reboot,2
power off,1
conclude operation,8
invalid command,0
get register,9
purge log,10
run web cameras,12
invalid command,0
launch camera,12
snapshot,11
invalid command,0
disable,1
commence keylogger,14
trash record,10
register apps,3
reawaken,2
end digital cameras,13
halt,1
open camcorders,12
exit keyloggers,15
open operation,7
close web camera,13
exit keyloggers,15
log programs,3
conclude keyloggers,15
cease webcam,13
trigger keyloggers,14
stop camcorder,13
trigger application,4
invalid command,0
invalid command,0
enumerate processes,6
screen grab,11
access files,9
log process,6
snapshot,11
register process,6
run web camera,12
shut digital cameras,13
end programs,5
halt,1
display jobs,6
retrieve log,9
invalid command,0
break,1
shut keyloggers,15
show tools,3
trigger webcam,12
activate utility,4
end keylogger,15
invalid command,0
record apps,3
catalog operation,6
kill keyloggers,15
shut tool,5
disable,1
initiate jobs,7
end camcorder,13
terminate program,5
kill web camera,13
resurrect,2
access data,9
restart,2
execute tasks,7
commence web camera,12
close web camera,13
get log,9
get data,9
trigger digital camera,12
commence software,4
trigger operations,7
commence service,7
terminate digital camera,13
finish webcams,13
invalid command,0
halt software,5
execute operations,7
disable utilities,5
shut utilities,5
kill off programs,5
clear files,10
invalid command,0
index tools,3
capture,11
resurrect,2
restarting,2
shut digital camera,13
initiate programs,4
activate webcams,12
restore,2
begin keyloggers,14
capture,11
remove record,10
begin keylogger,14
index jobs,6
acquire register,9
disable application,5
register task,6
complete process,8
delete file,10
stop programs,5
kill keylogger,15
cripple,1
open utility,4
list applications,3
commence jobs,7
stop utilities,5
open operation,7
cease camcorder,13
enumerate jobs,6
execute utility,4
obtain file,9
trigger web cameras,12
restarting,2
invalid command,0
retrieve,2
cease keyloggers,15
invalid command,0
terminate keyloggers,15
close keylogger,15
trigger digital camera,12
cease digital camera,13
cease process,8
invalid command,0
launch application,4
execute utilities,4
commence keyloggers,14
retrieve data,9
transfer documents,9
close keylogger,15
obtain record,9
reclaim,2
exit jobs,8
remove log,10
catalog software,3
trash log,10
invalid command,0
index tools,3
catalog tools,3
open tasks,7
invalid command,0
screen capture,11
complete utility,5
acquire files,9
close down utility,5
specify jobs,6
enumerate job,6
end keyloggers,15
power off,1
restore,2
open camera,12
run web camera,12
detail process,6
run processes,7
recoup,2
conclude service,8
catalog apps,3
run program,4
exit video camera,13
complete keylogger,15
rebooting,2
restarting,2
invalid command,0
complete keylogger,15
invalid command,0
power off processes,8
start utility,4
commence tool,4
initiate utility,4
register utilities,3
trigger software,4
initiate software,4
erase log,10
run process,7
invalid command,0
invalid command,0
store registers,9
cease tasks,8
save data,9
disable utility,5
begin processes,7
screen grab,11
copy documents,9
open camcorder,12
rekindle,2
terminate keyloggers,15
disable,1
recoup,2
close webcam,13
launch keyloggers,14
open processes,7
terminate keylogger,15
trigger web cameras,12
trash register,10
cease processes,8
invalid command,0
end keyloggers,15
finish software,5
index task,6
launch keylogger,14
initiate webcams,12
display apps,3
cripple programs,5
capture,11
index utilities,3
initiate digital camera,12
start over,2
invalid command,0
open service,7
invalid command,0
complete keylogger,15
screenshot,11
eliminate records,10
launch cameras,12
begin webcams,12
start service,7
store log,9
shutdown,1
finish application,5
execute video cameras,12
execute camcorder,12
show service,6
break tool,5
run webcams,12
stop keylogger,15
retrieve,2
fetch log,9
complete keylogger,15
halt,1
trigger keylogger,14
invalid command,0
register utilities,3
complete keylogger,15
terminate keylogger,15
launch utility,4
start keyloggers,14
begin software,4
refresh,2
show tools,3
enumerate service,6
commence application,4
finish keylogger,15
list utilities,3
finish tools,5
launch keyloggers,14
capture,11
begin keyloggers,14
detail processes,6
show apps,3
list task,6
detail job,6
trigger keyloggers,14
power off process,8
open utility,4
commence keyloggers,14
begin operation,7
display operation,6
clear register,10
uninstalling file,10
screen shot,11
launch keylogger,14
retrieve registers,9
end webcam,13
record process,6
shut down,1
access record,9
show tasks,6
reestablish,2
list apps,3
uninstall record,10
start app,4
cripple,1
shut digital camera,13
purge records,10
begin camcorders,12
kill off programs,5
rebooting,2
execute webcam,12
open digital cameras,12
shut video camera,13
store document,9
index processes,6
record services,6
acquire registers,9
catalog processes,6
shut down,1
finish tools,5
run digital camera,12
open program,4
exit keylogger,15
kill off webcams,13
close web camera,13
clear files,10
complete jobs,8
disable,1
commence tool,4
register services,6
initiate program,4
copy logs,9
complete keyloggers,15
complete digital cameras,13
download registers,9
invalid command,0
stop video camera,13
invalid command,0
